Row Labels,Ward/Project Number,Project Name,SubProject Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,WAT906467-1,AVENUE ROAD TRUNKMAIN REPLACEMENT,AVENUE RD WM ENGINEERING - HI LEVEL TO LAWRENCE,18,0,0,0,0,0,0,0,0,0
,WAT906467-2,AVENUE ROAD TRUNKMAIN REPLACEMENT,AVENUE RD WM  CONSTRUCTION - HI LEVELTO LAWRENCE,"1,220","1,220",569,0,0,0,0,0,0,0
,WAT906468-1,HORGAN TRUNK MAIN EXPANSION,JOS - HORGAN TO ELLESMERE WM - ENGINEERING,103,103,103,103,103,0,0,0,0,0
,WAT906470-8,ISLAND W.T.P. R&R,CHEMICAL & RESIDUALS MNGT - ENG,53,10,10,10,10,10,10,3,0,0
,WAT906481-3,DISTRICT WATERMAINS - NEW,10 YEAR NEW WATERMAINS,0,0,0,500,500,500,500,500,500,500
,WAT906483-2,PW ENGINEERING,CAPITAL PRGMG & FACILITY ASSET PLANNING,750,750,0,0,0,0,0,0,0,0
,WAT906483-37,PW ENGINEERING,ASSET MANAGEMENT IMPLEMENTATION,0,500,"1,000","1,000","1,000","1,000","1,000","1,000",500,0
,WAT906483-38,PW ENGINEERING,WATERMAIN ASSET PLANNING - 10 YR FORECAST,0,0,60,60,60,60,60,60,60,60
,WAT906483-5,PW ENGINEERING,WATERMAIN ASSET PLANNING,400,400,0,0,0,0,0,0,0,0
,WAT906483-7,PW ENGINEERING,EASEMENT ACQUISITION,300,300,0,0,0,0,0,0,0,0
,WAT906749-1,DOWNTOWN W/M ENHANCEMENT,JOS - GERRARD ST WM - ENGINEERING,632,326,12,6,0,0,0,0,0,0
,WAT906749-3,DOWNTOWN W/M ENHANCEMENT,JOS BATHURST-DUPONT W/M - ENG,33,0,0,0,0,0,0,0,0,0
,WAT906749-4,DOWNTOWN W/M ENHANCEMENT,JOS - GERRARD ST WM - CONSTRUCTION,"18,776","11,409",0,0,0,0,0,0,0,0
,WAT906752-2,TRANSMISSION R&R,TRANSF & SW'GEAR REPLACMENT DESIGN,50,0,0,0,0,0,0,0,0,0
,WAT906752-49,TRANSMISSION R&R,TRUNK WATERMAIN REHAB,250,250,0,0,0,0,0,0,0,0
,WAT906752-50,TRANSMISSION R&R,10 YR TRUNK WATERMAIN REHAB,0,0,250,250,250,250,250,250,250,250
,WAT906752-52,TRANSMISSION R&R,CAST IRON TRUNK REPLC - PHASE 3 - ENGINEERING,300,400,600,800,700,460,400,300,280,0
,WAT906900-26,TRANSMISSION R&R,SCARBOROUGH PS - PUMP REPLC,850,20,0,0,0,0,0,0,0,0
,WAT906900-6,TRANSMISSION R&R,ELLESMERE P.S. UPGRADE,0,25,525,0,0,0,0,0,0,0
,WAT906902-13,HARRIS W.T.P. R&R ,FILTER MEDIA REPLACEMENT PH2,350,350,0,0,150,0,150,0,150,0
,WAT906902-15,HARRIS W.T.P. R&R ,OFFSHORE CHLORINATION REHAB,0,200,"1,000","3,000","3,000","3,000",0,0,0,0
,WAT906902-2,HARRIS W.T.P. R&R ,BUILDING ENVELOPE REHAB,10,10,0,0,0,0,0,0,0,0
,WAT906902-21,HARRIS W.T.P. R&R ,HVAC REHAB - CONSTRUCTION,750,"1,000","1,000",0,0,0,0,0,0,0
,WAT906902-22,HARRIS W.T.P. R&R ,TRAVELLING SCREEN REPLACEMENT,780,0,0,0,0,0,0,0,0,0
,WAT906902-29,HARRIS W.T.P. R&R ,HARRIS FILTERS REHABILITATION,0,0,0,"2,000","8,000","8,000","8,000","8,000","8,000","8,000"
,WAT906902-3,HARRIS W.T.P. R&R ,FACILITY & PROCESS UPGRADES,0,500,500,500,500,0,0,0,0,0
,WAT906902-30,HARRIS W.T.P. R&R ,HARRIS DISINFECTION MODIFICATIONS,0,9,55,128,128,0,0,0,0,0
,WAT906902-6,HARRIS W.T.P. R&R ,LIQUID CHEMICAL SYSTEM RELOCATION,8,0,0,0,0,0,0,0,0,0
,WAT906903-5,FJ HORGAN W.T.P. R&R,FACILITY & PROCESS UPGRADES,500,500,500,500,500,500,500,500,500,0
,WAT906903-8,FJ HORGAN W.T.P. R&R,RAW WATER PUMP UPGRADES,400,700,0,0,0,0,0,0,0,0
,WAT906906-13,TRUNK WATERMAIN EXPANSION,CAST IRON T-M REPLACEMENT - PH1,40,0,0,0,0,0,0,0,0,0
,WAT906906-2,TRUNK WATERMAIN EXPANSION,JOS - D4 W/M ENGINEERING,10,0,0,0,0,0,0,0,0,0
,WAT906906-25,TRUNK WATERMAIN EXPANSION,JOS WM SCAR PS TO ST CLAIR AND MIDLAND - ENG ,209,186,186,0,0,0,0,0,0,0
,WAT906914-3,SWITCH GEAR TRANSFORMER,ARC FLASH ANALYSIS,200,0,0,0,0,0,0,0,0,0
,WAT906919-1,RL CLARK W.T.P. R&R,FACILITY & PROCESS UPGRADES,500,300,300,300,100,0,0,0,0,0
,WAT906919-44,RL CLARK W.T.P. R&R,EVALUATION & COMMUNICATION SYSTEMS,"1,100",125,0,0,0,0,0,0,0,0
,WAT906930-15,DIST W/M REPLACEMENT,W/M REPLACEMENT - STAND ALONE,"9,000",0,0,0,0,0,0,0,0,0
,WAT906930-41,DIST W/M REPLACEMENT,WATERMAIN UPGRADES,422,0,0,0,0,0,0,0,0,0
,WAT906932-1,DIST W/M REHABILITATION,WATERMAIN CLEANING &LINING,200,0,0,0,0,0,0,0,0,0
,WAT906932-4,DIST W/M REHABILITATION,Hydrant & Valve Repair,500,0,0,0,0,0,0,0,0,0
,WAT906932-6,DIST W/M REHABILITATION,WATERMAIN STRUCTURAL LINING,"12,000",0,0,0,0,0,0,0,0,0
,WAT906932-7,DIST W/M REHABILITATION,CATHODIC PROTECTION,"3,500",0,0,0,0,0,0,0,0,0
,WAT906934-20,DIST WATER SERVICE REPAIR,WATER SERVICE REPAIR - STAND ALONE,500,0,0,0,0,0,0,0,0,0
,WAT906934-32,DIST WATER SERVICE REPAIR,WSR CUT REPAIRS,"2,122",0,0,0,0,0,0,0,0,0
,WAT906934-41,DIST WATER SERVICE REPAIR,2013 WATER SERVICE REPLACMENT -SOGR,"1,500",0,0,0,0,0,0,0,0,0
,WAT906935-15,NEW SERVICE CONNECTIONS,NEW SERVICE CONNECTIONS - CUT REPAIRS - FUTURE,0,0,"3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500"
,WAT906935-2,NEW SERVICE CONNECTIONS,NEW SERVICE CONNECTIONS - CUT REPAIRS,"3,500",0,0,0,0,0,0,0,0,0
,WAT906935-7,NEW SERVICE CONNECTIONS,NEW SERVICE CONNECTIONS - SITE SERVICING,"14,000","4,000",0,0,0,0,0,0,0,0
,WAT906951-2,ENGINEERING,CONSULTING FEES,"4,000","9,000",0,0,0,0,0,0,0,0
,WAT906951-37,ENGINEERING,SALARIES: LEGAL  SALARIES - 2014 SC,188,0,0,0,0,0,0,0,0,0
,WAT906951-46,ENGINEERING,SALARIES: DISTRICT OPERATIONS - 2014 SC,623,0,0,0,0,0,0,0,0,0
,WAT906977-12,ISLAND W.T.P. R&R ,FACILITY UPGRADE,300,"1,600","1,100",0,0,0,0,0,0,0
,WAT906977-18,ISLAND W.T.P. R&R ,VALVE CHAMBER UPGRADES,100,0,0,0,0,0,0,0,0,0
,WAT906977-20,ISLAND W.T.P. R&R , ISLAND SBS CONVERSION,20,0,0,0,0,0,0,0,0,0
,WAT906977-32,ISLAND W.T.P. R&R ,TRAVELLING SCREEN REPLACEMENT,0,560,"1,150",290,0,0,0,0,0,0
,WAT906977-33,ISLAND W.T.P. R&R ,ISLAND SEAWALL REHABILITATION,750,0,0,0,0,0,0,0,0,0
,WAT906977-44,ISLAND W.T.P. R&R ,ISLAND ENWAVE/RETROFIT PROJECT,"1,100",0,0,0,0,0,0,0,0,0
,WAT906977-7,ISLAND W.T.P. R&R ,FILTER MEDIA REPLC,0,150,0,150,0,150,0,0,150,0
,WAT906979-26,D2/D4 TRUNK WATERMAIN UPGRADES,JOS VICTORIA PARK WM - ENGINEERING,0,0,0,0,86,173,173,173,65,86
,WAT906979-4,D2/D4 TRUNK WATERMAIN UPGRADES,JOS - NEILSON (ELLESMERE-SHEPPARD) WM CONSTRUCTION,326,0,0,0,0,0,0,0,0,0
,WAT906979-7,D2/D4 TRUNK WATERMAIN UPGRADES,Ellesmere WM (Markham to Neilson) ENG,0,0,0,0,100,200,320,550,0,0
,WAT907135-1,BAYVIEW TRUNK WATERMAIN - PH2,JOS - MT- PLEASANT WM - CONST,0,0,0,0,6,93,155,124,124,0
,WES907128-117,BUSINESS SUSTAINMENT SYSTEMS,Blueprint Document Management - ECS,200,440,0,0,0,0,0,0,0,0
,WES907128-118,BUSINESS SUSTAINMENT SYSTEMS,Municipal Licensing & Stds - IT Strategic Plan,150,0,0,0,0,0,0,0,0,0
,WES907128-119,BUSINESS SUSTAINMENT SYSTEMS,Web Information Portal on Dvlpmnt Applications,240,234,366,0,0,0,0,0,0,0
,WES907458-5,TAS ELECTRONIC COMMUNICATIONS,On-Line Services - Animal Services,0,532,0,0,0,0,0,0,0,0
,WFT906728-13,Toronto Waterfront Revitalization Initiative,Precinct Planning Studies,381,0,0,0,0,0,0,0,0,0
,WFT906728-37,Toronto Waterfront Revitalization Initiative,East Bayfront Reserve,0,0,0,"15,000",0,0,0,0,0,0
,WFT906728-40,Toronto Waterfront Revitalization Initiative,Urban Planning Resources,261,0,0,0,0,0,0,0,0,0
,WFT906728-44,Toronto Waterfront Revitalization Initiative,Portlands Preparation ,0,42,0,0,0,0,0,0,0,0
,WFT906728-45,Toronto Waterfront Revitalization Initiative,Port Union ,100,100,100,0,0,0,0,0,0,0
,WFT906728-55,Toronto Waterfront Revitalization Initiative,Lake Ontario Park Phase 1,315,0,0,0,0,0,0,0,0,0
,WFT906728-68,Toronto Waterfront Revitalization Initiative,Mimico ,100,100,100,0,0,0,0,0,0,0
,WFT906728-8,Toronto Waterfront Revitalization Initiative,Union Station,725,0,0,0,0,0,0,0,0,0
,ZOO000003-1,Gorilla II: Outdoor Display,Gorilla II: Outdoor Display,0,0,0,0,0,"1,500","1,429",0,0,0
,ZOO000012-9,Exhibit Refurbishment,Exhibit Refurbishment (2019 - 2023),0,0,0,0,0,400,500,450,400,600
,ZOO000021-1,Orangutan II & III: Indoor & Outdoor Exhibits,Orangutan II & III: Indoor/Outdoor Exhibits,0,0,0,0,"3,400","2,000",0,0,0,0
,ZOO000022-3,Animal Health Centre,Wildlife Health Centre,"4,150","4,750","4,100","2,500",0,0,0,0,0,0
,ZOO000170-1,Breeding/Holding Facility,Breeding/Holding Facility,0,0,0,0,0,0,"1,500","1,714",0,0
,ZOO000177-12,Information Systems,Information Systems (2015-2018),0,150,150,450,300,0,0,0,0,0
,ZOO000177-8,Information Systems,Information Systems (2019-2023),0,0,0,0,0,200,350,300,300,400
,ZOO907807-1,African Hoofstock House (Old Giraffe site), African Hoofstock House (Old Giraffe House site),500,0,0,0,0,0,0,0,0,0
,FLT907912-10,Toronto Community Housing Corp.- Fleet Replacement,Vehicle/Equipment Purchase - 2022,0,0,0,0,0,0,0,0,60,0
,FLT907912-4,Toronto Community Housing Corp.- Fleet Replacement,Vehicle/Equipment Purchase - 2016,0,0,260,0,0,0,0,0,0,0
,FLT907912-3,Toronto Community Housing Corp.- Fleet Replacement,Vehicle/Equipment Purchase - 2015,0,510,0,0,0,0,0,0,0,0
,FLT907912-5,Toronto Community Housing Corp.- Fleet Replacement,Vehicle/Equipment Purchase - 2017,0,0,0,"1,235",0,0,0,0,0,0
,FLT907912-1,Toronto Community Housing Corp.- Fleet Replacement,Vehilce/Equipment Purchase - 2013,415,0,0,0,0,0,0,0,0,0
,FLT907912-8,Toronto Community Housing Corp.- Fleet Replacement,Vehicle/Equipment Purchase - 2020,0,0,0,0,0,0,120,0,0,0
,FLT907912-2,Toronto Community Housing Corp.- Fleet Replacement,Vehicle/Equipment Purchase - 2014,570,0,0,0,0,0,0,0,0,0
,FLT907912-9,Toronto Community Housing Corp.- Fleet Replacement,Vehicle/Equipment Purchase - 2021,0,0,0,0,0,0,0,60,0,0
,FLT907912-6,Toronto Community Housing Corp.- Fleet Replacement,Vehicle/Equipment Purchase - 2018,0,0,0,0,810,0,0,0,0,0
,FLT907912-7,Toronto Community Housing Corp.- Fleet Replacement,Vehicle/Equipment Purchase - 2019,0,0,0,0,0,450,0,0,0,0
,ECT907933-1,BIA Streetscape Improvement Program -2014,BIA Streetscape Improvement Program -2014,"1,544",0,0,0,0,0,0,0,0,0
,PKS000017-667,Park Development,Dogs Off-Leash Area Improvements FY2014 ,500,0,0,0,0,0,0,0,0,0
,WAT906935-17,NEW SERVICE CONNECTIONS,NEW SERVICE CONNECTIONS - SITE SERVICING - 2014 SC,0,"10,000",0,0,0,0,0,0,0,0
,WAT906903-27,FJ HORGAN W.T.P. R&R,REPLACEMENT OF MCCS -2014 SC,"-1,150",-795,990,875,200,0,0,0,0,0
,WAT906334-54,BUSINESS SYSTEM INFRASTRUCTURE - PW,NETWORK EQUIPMENT REPLACEMENT -2014 SC,360,360,0,0,0,0,0,0,0,0
,AMB907787-3,Medical Equipment Replacement Program,Medical Equipment Replacement Program - Future,0,310,310,330,330,330,330,330,350,350
,WAS907038-12,Land Acquisition for Source Water Protect, Scarborough EA,"1,500",0,0,0,0,0,0,0,0,0
,WAS906981-83,HIGHLAND CREEK WWTP UPGRADES,PLANT FIRM CAPACITY - CONCEPT DESIGN,400,0,0,0,0,0,0,0,0,0
,HOM907348-12,SPECIALTY SYSTEMS  ,2014 H&S ELEVATOR MODERNIZATIONS,200,0,0,0,0,0,0,0,0,0
,SOL000065-103,DIVERSION SYSTEMS,Multi-Residential SSO Bulk Bins - 2014,"2,000",0,0,0,0,0,0,0,0,0
,EXH350   -105,EQUIPMENT,"Transformers,Swithchgears,CircuitBreakers &Feeders",150,400,400,400,400,400,300,300,300,300
,POL907786-2,AED's ,AED's (S5),0,0,100,0,0,0,0,100,0,0
,FLT000481-25,Municipal Licensing & Standards-Fleet Replacement,Vehicle/Equipment Purchase - 2023,0,0,0,0,0,0,0,0,0,600
,FLT000479-18,Purchasing & Materials Mgmt- Fleet Replacement,Vehicle/Equipment Purchase - 2016,0,0,26,0,0,0,0,0,0,0
,ERP906993-24,Energy Retrofit Projects,ERP - Animal Services Efficiency Measures,45,147,0,0,0,0,0,0,0,0
,PKS907800-48,Information Technology,IT-Case Management System (CMS) FY2015-2016,0,450,650,0,0,0,0,0,0,0
,WAT906749-35,DOWNTOWN W/M ENHANCEMENT,JOS - GERRARD ST WM - ENGINEERING -2014 SC,92,38,2,0,0,0,0,0,0,0
,WAS906980-34,ASHBRIDGES BAY T.P. YR2006,MEDIATION AGREEMENT IMPLEMENTATION-PART 2 -2014 SC,0,1,0,0,0,0,0,0,0,0
,WAS906741-16,HIGHLAND CREEK TP YR2005,WAS THICKENING AND DEWATERING ENG -2014 SC,-160,300,303,0,1,0,0,0,0,0
,WAS906973-55,SEWER REPLACEMENT PROGRAM,SEWER REPLACEMENT - LESLIE ST,"10,000",0,0,0,0,0,0,0,0,0
,EXH907012-5,NATIONAL SOCCER STADIUM (BMO FIELD),Portable Kiosks & Various - F & B Services,40,0,0,0,0,0,0,0,0,0
,ZOO000012-19,Exhibit Refurbishment,Exhibit Refurbishment (2014),300,0,0,0,0,0,0,0,0,0
,HUM907896-4,Heritage Easement Agreement Upgrades,East Side Restoration,200,0,0,0,0,0,0,0,0,0
,ECT907931-1,BIA Financing Program (2014) New,BIA Financing Program -2014,"1,500",0,0,0,0,0,0,0,0,0
,TRN000184-11,Growth Related Capital Works,Growth Related Capital Works - 2014 & Future,300,180,180,180,180,180,180,180,180,180
,FAC906395-916,Mechanical and Electrical,Var Loc-Various Mech/Elect SOGR Projects,0,0,0,0,0,0,0,0,0,"2,400"
,WAT906979-30,D2/D4 TRUNK WATERMAIN UPGRADES,Ellesmere WM (Markham to Neilson) ENG -2014 SC,0,0,0,0,-13,-27,-43,-73,0,0
,SOL906580-45,COLLECTION YARD ASSET MANAGEMENT,Collection Yards Asset Management 2014-2023,600,400,400,400,400,400,400,400,400,400
,EXH360   -91,OTHER BUILDINGS,GroundsSecuritySurveilanceSystem/Card Access/CCTV,85,0,0,0,0,0,0,0,0,0
,FLT000476-25,Library - Fleet Replacement,Vehicle/Equipment Purchase - 2023,0,0,0,0,0,0,0,0,0,201
,ITP907951-8,2012 Core Service Review - Service Efficiencies,"Ent Employee Self Service Portal, Payroll Moderniz","1,065",231,0,0,0,0,0,0,0,0
,ITP907747-17,Corporate Initiatives,Enterprise eLearning - HR - 2014 Scope Chg,350,350,0,0,0,0,0,0,0,0
,CHS907942-1,Service Efficiency Implementation,Service Efficiency Implementation (Study),625,0,0,0,0,0,0,0,0,0
,ITP906882-116,Corporate Planning & Management,Enterprise Portfolio Mgmt Tools,250,0,0,0,0,0,0,0,0,0
,WFT906728-73,Toronto Waterfront Revitalization Initiative,Mimico 2014 Budget Adjustment,-100,-100,-100,0,0,0,0,0,0,0
,LIB908005-1,Pan Am Games Program,Pan Am Games Program,150,3,0,0,0,0,0,0,0,0
,ACH000016-92,Major Maintenance ,Life Safety Security Updates 2014,50,0,0,0,0,0,0,0,0,0
,ECT907935-1,Mural Program-2014,Mural Program -2014,50,0,0,0,0,0,0,0,0,0
,TRN025   -10,Work for TTC & Others,Work for TTC & Others - Future 2014-2023,"14,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000"
,WAT906902-65,HARRIS W.T.P. R&R ,FILTER MEDIA REPLACEMENT PH2 -2014 SC,-150,-150,150,0,-150,0,-150,0,-150,0
,WAS907038-11,Land Acquisition for Source Water Protect,EROSION PROTECTION & LAND ACQUISITION -2014 SC,564,564,0,0,0,0,0,0,0,0
,WAS906958-66,SEWER SYSTEM REHABILITATION,GROUP 5 SEWAGE PS CAPACITY UPGRADES -2014 SC,-249,262,375,288,196,2,0,0,0,0
,WAS907104-17,HUMBER WWTP - LIQUID TREATMENT & HANDLING,SECONDARY TREATMENT UPGRADES - NORTH PLANT,0,0,0,0,0,0,0,0,"1,000","2,000"
,WAS906964-27,CONVEYANCE CONTROLS - REPLC & REHAB,2008 STORM SEWER REHABILITATION - 2014 SC,4,0,0,0,0,0,0,0,0,0
,FLT906862-18,Fleet Services - Fleet Replacement,Vehicle/Equipment Purchase - 2023,0,0,0,0,0,0,0,0,0,240
,FLT000483-24,Technical Services Fleet Replacement,Vehicle/Equipment Purchase - 2023,0,0,0,0,0,0,0,0,0,350
,WES907128-123,BUSINESS SUSTAINMENT SYSTEMS,Electronic Self Service Licensing - MLS,150,0,0,0,0,0,0,0,0,0
,ITP906882-115,Corporate Planning & Management,Business Process and Rules Management,870,"1,170",870,500,250,0,0,0,0,0
,TRN000183-25,Cycling Infrastructure,Toronto Bike Plan - CW Expansion 2014-2018,500,500,500,500,500,0,0,0,0,0
,WAT906977-58,ISLAND W.T.P. R&R ,FACILITY & PROCESS UPGRADES - 2014 SC,507,227,-149,0,0,0,0,0,0,0
,WAT906934-56,DIST WATER SERVICE REPAIR,2012 WATER SERVICE REPLACEMENT  - 2014 SC,84,50,0,0,0,0,0,0,0,0
,WAT000021-87,WATER EFFICIENCY PROGRAM,PUBLIC EDUCATION & PROMOTIONS -2014 SC,51,80,80,0,0,0,0,0,0,0
,WAS906964-26,CONVEYANCE CONTROLS - REPLC & REHAB,COATSWORTH CUT - PHASE 1 CONSTRUCTION -2014 SC,-4,-11,-11,-11,0,0,0,0,0,0
,AMB906057-8,Radio Infrastructure for Portable Coverage ,Ambulance Radio Replacement,0,0,"1,500",0,0,0,"1,000",0,0,0
,HOM907348-13,SPECIALTY SYSTEMS  ,2014 SOGR KITCHEN & LAUNDRY,200,0,0,0,0,0,0,0,0,0
,FLT000491-25,Exhibition Place - Fleet Replacement,Vehicle/Equipment Purchase - 2023,0,0,0,0,0,0,0,0,0,400
,ITP906882-118,Corporate Planning & Management,Enterprise Information Security Pgm,400,400,400,400,400,400,400,400,400,400
,ERP906993-20,Energy Retrofit Projects,ERP - Water Retrofits in Civic Centres,210,630,0,0,0,0,0,0,0,0
,TCS906629-9,POA Application Development,POA Web Pay Tickets Upgrade,0,0,0,130,0,0,0,0,0,0
,URB906386-39,DEVELOPMENT CHARGE FUNDED STUDIES,Growth Studies 2014,"1,315",0,0,0,0,0,0,0,0,0
,PKS000014-284,Facility Components,Capital Emergency Fund FY2014 ,500,0,0,0,0,0,0,0,0,0
,WAS907102-29,ASHBRIDGES BAY WWTP - ODOUR CONTROL,D BUILDING TREATMENT & BIOFILTER -2014 SC,46,130,0,0,0,0,0,0,0,0
,HOM907345-8,BUILDING UPGRADES,2014 SOGR BUILDING UPGRADES,"3,400",0,0,0,0,0,0,0,0,0
,TTC000921-3,Transit Shelters & Loops ,Transit Shelters & Loops - Improvement,0,0,0,0,0,0,0,0,0,211
,TRC907697-22,CRITICAL EROSION CONTROL & FLOODWORKS NEEDS ,Layer1:More Waterfront Major Maintenance/Strategy,0,0,0,0,0,0,500,300,"1,000",800
,PKS907800-45,Information Technology,IT-Technology Infrastructure-Refresh FY2014,250,0,0,0,0,0,0,0,0,0
,TRN907312-11,Neighbourhood Improvements,Neighbourhood Improvements 2014 & Future,"2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000"
,TRN906080-11,Pedestrian Safety and Infrastructure Programs,Wayfinding Strategy Pilot,150,0,0,0,0,0,0,0,0,0
,TRN907247-6,Signs and Markings Asset Management,Signs & Markings Asset Management 2014 & Future,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000"
,TPA907958-1,Structural Maitenance and Technology 2014,Structural Maintenance 2014,"1,000",0,0,0,0,0,0,0,0,0
,WAT906900-35,TRANSMISSION R&R,TRANS FACILITIES REHAB - 2014 SC,17,150,0,0,0,0,0,0,0,0
,WAT906979-29,D2/D4 TRUNK WATERMAIN UPGRADES,JOS -NEILSON(ELLESMERE-SHEPPARD)WM CONS -2014 SC,240,0,0,0,0,0,0,0,0,0
,WAT906481-12,DISTRICT WATERMAINS - NEW,DIST W/MAINS NEW -2014 SC,-10,350,500,0,0,0,0,0,0,0
,WAT906930-55,DIST W/M REPLACEMENT,WATERMAIN REPLACEMENT - METROLINX,25,600,600,"1,000",875,0,0,0,0,0
,WASWP050 -123,EQUIPMENT REPLACEMENT & REHABILITATION,MTI REAL TIME CONTROL -2014 SC,"-1,890","-1,900",0,"2,000","2,000",0,0,0,0,0
,WAS906958-65,SEWER SYSTEM REHABILITATION,SEWAGE PUMPING STATION STANDBY POWER -2014 SC,-585,810,0,0,0,0,0,0,0,0
,HOM907345-7,BUILDING UPGRADES,2014 H&S BUILDING UPGRADES,"1,200",0,0,0,0,0,0,0,0,0
,FLT907268-11,Toronto Building - Fleet Replacement,Vehicle/Equipment Purchase - 2018 ,0,0,0,0,89,0,0,0,0,0
,WES907128-126,BUSINESS SUSTAINMENT SYSTEMS,System Enhancements for Licensing Services - MLS,396,340,0,0,0,0,0,0,0,0
,ITP906881-102,Application Systems,Central Property Repository,300,400,300,300,0,0,0,0,0,0
,ERP907661-13,Renewable Energy Program,Solar PV - MircoFIT (Reserves),100,0,0,0,0,0,0,0,0,0
,ACH000012-160,Restoration/Preservation of Heritage Elements,Outdoor Public Art -2014,200,0,0,0,0,0,0,0,0,0
,PKS000024-238,Environmental Initiatives,Community Garden FY2014 ,100,0,0,0,0,0,0,0,0,0
,WAT906902-72,HARRIS W.T.P. R&R ,BUILDING ENVELOPE REHAB - 2014 SC,-10,0,0,0,0,0,0,0,0,0
,WAT906903-30,FJ HORGAN W.T.P. R&R,ZEBRA MUSSEL CONTROL SYSTEM REPLACEMENT - 2014 SC,-484,"-2,000",550,"1,950",0,0,0,0,0,0
,WAT906334-61,BUSINESS SYSTEM INFRASTRUCTURE - PW,RELIABILITY IMPROVEMENT PROGRAM - FUTURE YEARS,0,0,200,200,200,200,200,200,200,200
,WAS906488-21,HUMBER T.P. - II YR2004,PCS PLANT SERVICES -2014 SC,-25,125,5,7,0,0,0,0,0,0
,WAS907101-21,ASHBRIDGES BAY WWTP - O&M UPGRADES,MESI UPGRADES - FUTURE YEAR,0,0,"2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500"
,WAS906492-55,WET WEATHER FLOW MP ,WWF MONITORING STATIONS -2014 SC,0,0,-13,-13,27,16,16,16,0,0
,ITP907951-3,2012 Core Service Review - Service Efficiencies,Portal Foundation Components,"1,200",800,"1,500",0,0,0,0,0,0,0
,TRN160   -12,ENGINEERING STUDIES,Engineering Studies - 2014 & Future,"1,176",0,0,0,0,0,0,0,0,0
,WAT907946-5,BUSINESS IT PROJECTS,BACKFLOW INSPECTION PORTAL -2014 SC,-250,-200,200,200,0,0,0,0,0,0
,WAT906468-39,HORGAN TRUNK MAIN EXPANSION,JOS - HORGAN TO ELLESMERE WM - ENG -2014 SC,-99,24,365,365,148,6,6,0,0,0
,WAS907099-54,ASHBRIDGES BAY WWTP - LIQUID TREATMENT & HANDLING,INTEGRATED PUMPING STATION  - CONS -2014 SC,-105,0,0,0,0,0,0,0,0,0
,WAS907100-29,ASHBRIDGES BAY WWTP - SOLIDS & GAS HANDLING,WASTE ACTIVATED SLUDGE UPGRADE - ENG -2014 SC,48,117,256,141,101,101,101,5,0,0
,WAS906981-78,HIGHLAND CREEK WWTP UPGRADES,DIGESTER GAS SYSTEM UPGRADES -2014 SC,"-1,630","-3,280",270,"4,630",50,0,0,0,0,0
,EXH000525-70,DIRECT ENERGY CENTRE (formerly NTC),Retrofit Salons & Interior Equipment for 101 & 110,0,150,150,0,0,0,0,0,0,0
,EXH350   -106,EQUIPMENT,Building Automation System,100,200,200,200,100,100,100,100,100,100
,ACH000013-42,Refurbishment and Rehabilitation,Museums Interiors Planning,75,0,0,0,0,0,0,0,0,0
,PKS000019-290,Playgrounds/Waterplay,CAMP (SGR) Waterplay FY2014 ,900,0,0,0,0,0,0,0,0,0
,WAT906900-36,TRANSMISSION R&R,RESERVOIR REHAB/WATER QUALITY PROTECTION,300,"5,250",500,0,0,0,0,0,0,0
,WAS907098-20,ASHBRIDGES BAY WWTP - EFFLUENT SYSTEM,ABTP OUTFALL ASSESSMENT -2014 SC,-3,105,0,0,0,0,0,0,0,0
,WAS906958-61,SEWER SYSTEM REHABILITATION,CCTV Inspection -2014 SC,-223,0,"1,000",0,0,0,0,0,0,0
,WAS906328-50,SWM END OF PIPE FACILITIES,EARL BALES SWM FACILITY - PHASE 2 -2014 SC,"-3,000","2,000","1,500",0,0,0,0,0,0,0
,WAS000007-216,ASHBRIDGES BAY WWTP REHAB,OPERATIONS CENTRE - ENGINEERING,300,400,0,0,0,0,0,0,0,0
,EXH350   -102,EQUIPMENT,Various Elect. Infrast. &PBX/IT for Show Services,150,0,0,0,0,0,0,0,0,0
,CLK907415-4,Mail Security and Mail Room Upgrades,Mail Security & Mail Room Upgrade - S3,-250,-250,0,0,0,0,0,0,0,0
,ITP907951-7,2012 Core Service Review - Service Efficiencies,Asset Management Solution - Transportation,0,150,515,560,0,0,0,0,0,0
,HUM907897-10,Upgrades to Permanent Capital Assets,Fit Out of Break Out Space - Under Plaza,0,400,0,0,0,0,0,0,0,0
,HUM907896-5,Heritage Easement Agreement Upgrades,Exterior Limestone & Granite Upgrades FY2015,0,785,0,0,0,0,0,0,0,0
,PAN907636-17,Pan Am Games - Parks & Recreation,West Channel,"1,452",968,0,0,0,0,0,0,0,0
,LIB907114-8,Toronto Reference Library - Renovation & Expansion,Toronto Reference Library Change of Scope,727,0,0,0,0,0,0,0,0,0
,WAT906977-54,ISLAND W.T.P. R&R ,FILTER MEDIA REPLC - FUTURE,0,0,150,0,150,0,150,0,150,0
